Player,Matches Played,Avg Runs per Match,Strike Rate,Batting Position,Opponent Team,Venue,Previous Match Runs,Form (Last 5 Innings Avg.),Predicted Runs
Jitesh Sharma,138,35.89,137.42,6,LSG,Wankhede,1,78.14,61
Rinku Singh,167,35.37,127.66,2,RCB,Wankhede,37,48.33,54
Quinton de Kock,290,45.75,106.17,3,CSK,Eden Gardens,54,28.41,42
Sarfaraz Khan,253,26.57,125.75,3,PBKS,DY Patil,74,40.28,40
Harpreet Singh,193,47.45,110.28,5,DC,Wankhede,24,57.03,62
Tilak Varma,43,34.36,115.72,2,SRH,Chinnaswamy,29,38.95,28
Krunal Pandya,70,52.1,131.72,2,CSK,Wankhede,103,22.67,29
Rinku Singh,49,53.31,128.18,1,DC,Narendra Modi,55,55.51,60
Dawid Malan,248,34.34,127.46,6,RR,Chinnaswamy,68,78.45,48
Shikhar Dhawan,149,52.33,161.67,4,MI,Narendra Modi,68,15.04,48
Jos Buttler,264,36.63,143.18,7,RR,Chinnaswamy,118,75.01,55
Shikhar Dhawan,250,49.4,109.99,6,GT,M. A. Chidambaram,6,47.11,50
Shikhar Dhawan,256,48.74,115.46,2,KKR,Chinnaswamy,33,74.59,74
Sanju Samson,135,23.98,131.79,2,PBKS,Eden Gardens,96,58.14,50
Matthew Wade,22,48.82,159.32,6,GT,Wankhede,51,75.96,52
Will Jacks,92,45.29,114.01,3,LSG,DY Patil,19,77.26,63
Jitesh Sharma,105,35.09,104.9,1,CSK,Wankhede,119,84.61,70
Tim David,181,24.12,111.6,2,RCB,Chinnaswamy,110,34.02,31
Pat Cummins,225,28.74,146.56,6,RR,Arun Jaitley,93,80.39,54
Quinton de Kock,56,52.17,112.25,4,KKR,Eden Gardens,1,21.57,29
Shreyas Iyer,92,37.3,118.35,4,PBKS,Arun Jaitley,25,70.26,44
Nicholas Pooran,184,47.46,130.32,3,DC,Narendra Modi,33,62.46,49
Deepak Hooda,234,47.74,157.07,5,DC,Arun Jaitley,46,81.78,71
Yashasvi Jaiswal,220,38.38,113.82,2,MI,Narendra Modi,59,79.5,67
Ben Stokes,104,32.35,147.8,4,PBKS,Eden Gardens,69,82.56,65
Ruturaj Gaikwad,94,30.67,147.71,3,DC,Narendra Modi,106,67.09,39
Prithvi Shaw,59,42.78,100.99,6,LSG,M. A. Chidambaram,35,77.85,52
Mayank Agarwal,113,54.13,114.85,5,KKR,Eden Gardens,4,60.46,49
Jonny Bairstow,33,38.1,139.15,6,RCB,DY Patil,8,59.07,64
Devdutt Padikkal,167,26.28,152.86,2,SRH,Narendra Modi,73,81.06,69
Chetan Sakariya,276,38.63,102.36,2,CSK,Chinnaswamy,60,67.7,54
Ishan Kishan,273,39.6,158.52,1,RCB,Narendra Modi,77,69.71,48
Rinku Singh,229,23.84,139.93,5,GT,Chinnaswamy,31,58.04,43
Sanju Samson,117,37.83,169.7,7,CSK,Narendra Modi,54,46.55,39
Cameron Green,18,34.12,167.85,2,PBKS,Narendra Modi,116,43.84,47
Krunal Pandya,220,41.27,149.96,2,DC,DY Patil,20,42.69,34
Rahmanullah Gurbaz,286,23.01,177.34,5,RCB,Arun Jaitley,60,67.33,46
Prithvi Shaw,283,52.12,104.17,7,RR,M. A. Chidambaram,83,36.53,36
Matthew Wade,276,35.04,162.76,2,KKR,Eden Gardens,18,44.3,54
Glenn Maxwell,50,39.29,128.0,3,LSG,Narendra Modi,103,72.77,65
Shreyas Iyer,86,36.44,160.12,5,PBKS,Chinnaswamy,2,37.95,29
Jos Buttler,166,53.8,166.17,6,DC,Arun Jaitley,46,33.39,53
Marcus Stoinis,257,26.33,114.91,5,PBKS,Arun Jaitley,70,15.36,17
Dinesh Karthik,205,21.04,108.69,4,GT,Narendra Modi,105,46.68,42
Kane Williamson,204,37.85,136.32,2,GT,Narendra Modi,16,44.36,52
Abhishek Sharma,246,45.63,151.65,4,PBKS,Narendra Modi,41,66.94,63
Moeen Ali,114,39.66,157.77,1,SRH,Narendra Modi,119,51.06,51
Jitesh Sharma,107,24.48,113.67,4,SRH,Chinnaswamy,106,62.23,42
Jason Roy,57,30.83,141.74,7,SRH,Chinnaswamy,13,34.28,42
Shreyas Iyer,207,45.26,175.61,6,MI,Wankhede,56,29.5,30
Will Jacks,92,27.5,178.48,7,RR,Arun Jaitley,28,10.93,32
Ravindra Jadeja,203,45.04,104.82,1,LSG,DY Patil,117,47.87,45
Shreyas Iyer,78,23.47,140.2,2,RCB,Arun Jaitley,36,80.3,43
Sam Curran,226,22.64,159.77,7,GT,Arun Jaitley,40,29.34,38
Prithvi Shaw,217,48.18,103.38,5,LSG,Wankhede,85,71.79,59
Venkatesh Iyer,18,39.13,150.86,6,MI,DY Patil,66,30.3,45
Nitish Rana,222,39.88,168.25,1,SRH,Eden Gardens,25,86.89,72
Heinrich Klaasen,129,40.12,169.36,1,RCB,Narendra Modi,16,61.34,51
Hardik Pandya,214,49.58,172.45,7,MI,M. A. Chidambaram,90,17.4,40
Virat Kohli,51,41.0,139.98,1,SRH,DY Patil,95,86.87,59
Travis Head,92,50.48,150.67,1,SRH,Wankhede,39,84.23,57
Shikhar Dhawan,276,43.33,123.7,5,MI,Narendra Modi,58,55.58,54
Axar Patel,208,50.08,138.23,1,SRH,Arun Jaitley,9,17.44,48
Shubman Gill,209,21.53,128.89,1,SRH,M. A. Chidambaram,86,48.33,46
Shivam Dube,214,42.44,139.83,6,MI,Eden Gardens,15,86.92,76
Axar Patel,211,26.59,151.03,7,RR,DY Patil,8,32.14,31
Jason Roy,53,31.38,179.16,5,RR,Wankhede,37,11.67,18
Tilak Varma,178,20.04,157.85,7,MI,M. A. Chidambaram,7,69.01,59
Matthew Wade,100,29.08,137.77,6,MI,Arun Jaitley,116,49.81,42
Shahrukh Khan,202,38.86,108.04,7,PBKS,M. A. Chidambaram,9,57.7,55
Shahrukh Khan,237,28.39,122.08,5,RCB,M. A. Chidambaram,119,21.29,33
Krunal Pandya,165,30.26,167.46,5,KKR,Wankhede,16,78.71,64
Shivam Dube,182,43.0,117.51,7,SRH,M. A. Chidambaram,75,54.87,62
Sanju Samson,210,38.7,143.46,7,PBKS,Arun Jaitley,98,33.19,44
Quinton de Kock,28,26.21,164.89,4,RCB,Wankhede,48,51.59,35
Devon Conway,189,35.8,174.54,6,RCB,Wankhede,19,42.62,39
David Warner,178,49.64,120.66,4,GT,Narendra Modi,80,38.39,56
Ben Stokes,10,36.29,145.36,1,LSG,Wankhede,117,87.07,67
Shreyas Iyer,91,35.73,133.55,1,CSK,Eden Gardens,24,84.07,53
Yashasvi Jaiswal,243,24.3,103.06,6,RCB,M. A. Chidambaram,58,69.32,48
Nicholas Pooran,207,53.05,121.79,6,RR,DY Patil,61,42.31,51
Cameron Green,51,51.63,136.11,5,RCB,Narendra Modi,75,29.65,41
Moeen Ali,84,41.67,126.01,3,RCB,DY Patil,103,20.23,37
Will Jacks,20,23.2,124.75,1,KKR,DY Patil,32,37.67,33
Faf du Plessis,39,21.34,112.49,5,RCB,M. A. Chidambaram,59,17.04,15
Sam Curran,133,24.68,171.77,5,PBKS,Narendra Modi,71,29.0,27
Sam Curran,266,51.08,159.13,3,GT,Chinnaswamy,110,53.88,59
Kane Williamson,247,24.63,160.86,6,RR,M. A. Chidambaram,109,42.14,25
Abhishek Sharma,156,39.86,162.34,3,KKR,Narendra Modi,112,46.73,53
Abhishek Sharma,288,21.93,105.76,2,LSG,Eden Gardens,36,54.86,48
Kyle Mayers,110,34.95,120.95,2,LSG,Wankhede,110,56.08,52
Quinton de Kock,280,28.35,113.11,4,GT,Chinnaswamy,113,77.81,52
Dinesh Karthik,285,44.97,173.48,7,GT,Arun Jaitley,9,37.87,55
Shreyas Iyer,279,45.38,162.34,2,KKR,DY Patil,106,24.75,27
Moeen Ali,293,42.71,149.66,1,GT,Narendra Modi,7,51.0,40
Dawid Malan,242,40.07,150.89,7,GT,Arun Jaitley,66,69.7,51
Deepak Hooda,253,40.02,163.71,5,KKR,Arun Jaitley,85,60.21,40
Venkatesh Iyer,219,52.36,178.85,2,DC,Wankhede,68,10.31,25
MS Dhoni,100,47.19,178.55,7,RR,DY Patil,26,51.57,55
Venkatesh Iyer,221,53.6,101.28,1,GT,Arun Jaitley,75,46.55,45
Jason Roy,191,25.48,138.04,6,GT,Eden Gardens,27,75.97,53
Sam Curran,113,24.69,129.14,4,PBKS,Arun Jaitley,62,89.3,65
Sanju Samson,20,38.9,101.48,4,KKR,Arun Jaitley,108,42.96,35
Jonny Bairstow,49,23.07,166.75,7,CSK,DY Patil,29,88.59,60
Sarfaraz Khan,82,37.35,134.24,3,CSK,Eden Gardens,13,66.79,58
Kane Williamson,141,48.83,111.07,7,MI,Arun Jaitley,94,44.27,47
Nitish Rana,241,30.74,110.19,3,MI,M. A. Chidambaram,6,42.62,39
Ishan Kishan,56,44.42,121.85,7,SRH,M. A. Chidambaram,96,56.25,55
